movie_name,star1,star2,votes,genre1,genre2,genre3,popularity,certification,revenue
The Dark Knight,Christian Bale,Heath Ledger,"2,741,650",Action,Crime,Drama,9.0,UA,$534.86M
The Lord of the Rings: The Return of the King,Elijah Wood,Viggo Mortensen,"1,899,228",Action,Adventure,Drama,9.0,U,$377.85M
Spider-Man: Across the Spider-Verse,Kemp Powers,Justin K. Thompson,"186,212",Animation,Action,Adventure,8.9,U,
Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,"2,432,910",Action,Adventure,Sci-Fi,8.8,UA,$292.58M
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,"1,927,643",Action,Adventure,Drama,8.8,U,$315.54M
The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,"1,713,969",Action,Adventure,Drama,8.8,UA,$342.55M
The Matrix,Lilly Wachowski,Keanu Reeves,"1,971,356",Action,Sci-Fi,,8.7,A,$171.48M
Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,Harrison Ford,"1,329,966",Action,Adventure,Fantasy,8.7,UA,$290.48M
Soorarai Pottru,Suriya,Paresh Rawal,"120,041",Action,Drama,,8.7,U,
Terminator 2: Judgment Day,Arnold Schwarzenegger,Linda Hamilton,"1,131,201",Action,Sci-Fi,,8.6,A,$204.84M
Star Wars: Episode IV - A New Hope,Mark Hamill,Harrison Ford,"1,402,212",Action,Adventure,Fantasy,8.6,U,$322.74M
Seven Samurai,Toshirô Mifune,Takashi Shimura,"354,985",Action,Drama,,8.6,U,$0.27M
Harakiri,Tatsuya Nakadai,Akira Ishihama,"62,156",Action,Drama,Mystery,8.6,,
Sita Ramam,Dulquer Salmaan,Mrunal Thakur,"61,445",Action,Drama,Mystery,8.6,U,
Gladiator,Russell Crowe,Joaquin Phoenix,"1,546,362",Action,Adventure,Drama,8.5,UA,$187.71M
Léon: The Professional,Jean Reno,Gary Oldman,"1,197,554",Action,Crime,Drama,8.5,A,$19.50M
Raiders of the Lost Ark,Harrison Ford,Karen Allen,"1,003,504",Action,Adventure,,8.4,A,$448.14M
